foreign_table,rel,primary_table,no,fk_column_name,join,pk_column_name,fk_constraint_name
dbo.Account,>-,dbo.Account,1,ParentId, = ,Id,FK4vuAoQFpJNm3KVrfzlDHOztOhk
dbo.Account,>-,dbo.AccountAnnualRevenue,1,AnnualRevenueId, = ,Id,FKJaSMd3uEnjvgDXI3NhIN5Z2OtY
dbo.Account,>-,dbo.AccountCategory,1,AccountCategoryId, = ,Id,FKxh8yt9fkzpqLpvftGe0QWmU1Ac
dbo.Account,>-,dbo.AccountEmployeesNumber,1,EmployeesNumberId, = ,Id,FK7FiIMVIMNS5l5GKCLP3pqpjE8yY
dbo.Account,>-,dbo.AccountIndustry,1,IndustryId, = ,Id,FKuRAVTAXLVZf8OIhtHm7ZbHObBAM
dbo.Account,>-,dbo.AccountOwnership,1,OwnershipId, = ,Id,FKIlgU2Yvt64Gdu1pcCDvTiEpIsM
dbo.Account,>-,dbo.AccountType,1,TypeId, = ,Id,FKYHzsUhfOpzPE3EH8Go3POysq7F0
dbo.Account,>-,dbo.AddressType,1,AddressTypeId, = ,Id,FKFGMycsN8b833rBohj3O9to0VM
dbo.Account,>-,dbo.City,1,CityId, = ,Id,FKlrP2X8Yxtdpx4Aq6SVKvPtwQH88
dbo.Account,>-,dbo.Contact,1,PrimaryContactId, = ,Id,FKq6UZ1UcGWiEwEBUKXX6k11VxtVc
dbo.Account,>-,dbo.Contact,1,OwnerId, = ,Id,FKgorxorMDKx0GwMudqP9wBV7J8o
dbo.Account,>-,dbo.Country,1,CountryId, = ,Id,FKfrMV7ZZl5CjXMq3CFlb5UapXk
dbo.Account,>-,dbo.Pricelist,1,PriceListId, = ,Id,FKh1LBIlpLUNo9ZUoMPHgGvsmkzU
dbo.Account,>-,dbo.Region,1,RegionId, = ,Id,FKq5mLBFSyRkazJDjNmdIyNihPoU
dbo.Account,>-,dbo.SysImage,1,AccountLogoId, = ,Id,FKFMULjWocnvU9qUzuvsybZFJ11M
dbo.Account,>-,dbo.UsrAccountRestricted,1,UsrAccountRestrictedId, = ,Id,FKb1xCbB1AdjiTjSNfH26EA8HmcDw
dbo.Account,>-,dbo.UsrAccountStatus,1,UsrAccountStatusId, = ,Id,FKAFXWbYxvhT7J7jWCcYA2214GBQ
dbo.Account,>-,dbo.UsrBusinessEntityType,1,UsrBusinessEntityTypeId, = ,Id,FKWRg1Qd2z7iNKuVtIInipAmXe34I
dbo.Account,>-,dbo.UsrBusinessStage,1,UsrBusinessStageId, = ,Id,FKk7IN4fTxDHX1L1g7DLHFi0xoxy4
dbo.Account,>-,dbo.UsrOwnOrLease,1,UsrOwnOrLeaseId, = ,Id,FKBnWTiVSE9FkpYrnRs9rWLCsw
dbo.Account,>-,dbo.UsrRelationshipType,1,UsrRelationshipTypeId, = ,Id,FKyT2Cnwjnhh5Or3aOBGhxbGCPGRQ
